hs2022,hs2017,relationship
030221,030221,1:1
030222,030222,1:1
030223,030223,1:1
030224,030224,1:1
030229,030229,1:1
030231,030231,1:1
030232,030232,1:1
030233,030233,1:1
030234,030234,1:1
030235,030235,1:1
030236,030236,1:1
030239,030239,1:1
030241,030241,1:1
030242,030242,1:1
030243,030243,1:1
030244,030244,1:1
030245,030245,1:1
030246,030246,1:1
030247,030247,1:1
030249,030249,1:1
030251,030251,1:1
030252,030252,1:1
030253,030253,1:1
030254,030254,1:1
030255,030255,1:1
030256,030256,1:1
030259,030259,1:1
030271,030271,1:1
030272,030272,1:1
030273,030273,1:1
030274,030274,1:1
030279,030279,1:1
030281,030281,1:1
030282,030282,1:1
030283,030283,1:1
030284,030284,1:1
030285,030285,1:1
030289,030289,1:1
030291,030291,1:1
030292,030292,1:1
030299,030299,1:1
030311,030311,1:1
030312,030312,1:1
030313,030313,1:1
030314,030314,1:1
030319,030319,1:1
030323,030323,1:1
030324,030324,1:1
030325,030325,1:1
030326,030326,1:1
030329,030329,1:1
030331,030331,1:1
030332,030332,1:1
030333,030333,1:1
030334,030334,1:1
030339,030339,1:1
030341,030341,1:1
030342,030342,1:1
030343,030343,1:1
030344,030344,1:1
030345,030345,1:1
030346,030346,1:1
030349,030349,1:1
030351,030351,1:1
030353,030353,1:1
030354,030354,1:1
030355,030355,1:1
030356,030356,1:1
030357,030357,1:1
030359,030359,1:1
030363,030363,1:1
030364,030364,1:1
030365,030365,1:1
030366,030366,1:1
030367,030367,1:1
030368,030368,1:1
030369,030369,1:1
030381,030381,1:1
030382,030382,1:1
030383,030383,1:1
030384,030384,1:1
030389,030389,1:1
030391,030391,1:1
030392,030392,1:1
030399,030399,1:1
030431,030431,1:1
030432,030432,1:1
030433,030433,1:1
030439,030439,1:1
030441,030441,1:1
030442,030442,1:1
030443,030443,1:1
030444,030444,1:1
030445,030445,1:1
030446,030446,1:1
030447,030447,1:1
030448,030448,1:1
030449,030449,1:1
030451,030451,1:1
030452,030452,1:1
030453,030453,1:1
030454,030454,1:1
030455,030455,1:1
030456,030456,1:1
030457,030457,1:1
030459,030459,1:1
030461,030461,1:1
030462,030462,1:1
030463,030463,1:1
030469,030469,1:1
030471,030471,1:1
030472,030472,1:1
030473,030473,1:1
030474,030474,1:1
030475,030475,1:1
030479,030479,1:1
030481,030481,1:1
030482,030482,1:1
030483,030483,1:1
030484,030484,1:1
030485,030485,1:1
030486,030486,1:1
030487,030487,1:1
030488,030488,1:1
030489,030489,1:1
030491,030491,1:1
030492,030492,1:1
030493,030493,1:1
030494,030494,1:1
030495,030495,1:1
030496,030496,1:1
030497,030497,1:1
030499,030499,1:1
030520,030520,1:1
030531,030531,1:1
030532,030532,1:1
030539,030539,1:1
030541,030541,1:1
030542,030542,1:1
030543,030543,1:1
030544,030544,1:1
030549,030549,1:1
030551,030551,1:1
030552,030552,1:1
030553,030553,1:1
030554,030554,1:1
030559,030559,1:1
030561,030561,1:1
030562,030562,1:1
030563,030563,1:1
030564,030564,1:1
030569,030569,1:1
030571,030571,1:1
030572,030572,1:1
030579,030579,1:1
030611,030611,1:1
030612,030612,1:1
030614,030614,1:1
030615,030615,1:1
030616,030616,1:1
030617,030617,1:1
030619,030619,n:1
030631,030631,1:1
030632,030632,1:1
030633,030633,1:1
030634,030634,1:1
030635,030635,1:1
030636,030636,1:1
030639,030639,n:1
030691,030691,1:1
030692,030692,1:1
030693,030693,1:1
030694,030694,1:1
030695,030695,1:1
030699,030699,n:1
030711,030711,1:1
030712,030712,1:1
030719,030719,1:1
030721,030721,1:n
030721,030791,n:n
030722,030722,1:n
030722,030792,n:n
030729,030729,1:n
030729,030799,n:n
030731,030731,1:1
030732,030732,1:1
030739,030739,1:1
030742,030742,1:1
030743,030743,1:1
030749,030749,1:1
030751,030751,1:1
030752,030752,1:1
030759,030759,1:1
030760,030760,1:1
030771,030771,1:1
030772,030772,1:1
030779,030779,1:1
030781,030781,1:1
030782,030782,1:1
030783,030783,1:1
030784,030784,1:1
030787,030787,1:1
030788,030788,1:1
030791,030791,n:1
030792,030792,n:1
030799,030799,n:1
030811,030811,1:1
030812,030812,1:1
030819,030819,1:1
030821,030821,1:1
030822,030822,1:1
030829,030829,1:1
030830,030830,1:1
030890,030890,n:1
030910,030510,1:1
030990,030619,n:n
030990,030639,n:n
030990,030699,n:n
030990,030791,n:n
030990,030792,n:n
030990,030799,n:n
030990,030890,n:n
040110,040110,1:1
040120,040120,1:1
040140,040140,1:1
040150,040150,1:1
040210,040210,1:1
040221,040221,1:1
040229,040229,1:1
040291,040291,1:1
040299,040299,1:1
040320,040310,1:n
040320,190190,n:n
040390,040390,1:1
040410,040410,1:1
040490,040490,1:1
040510,040510,1:1
040520,040520,1:1
040590,040590,1:1
040610,040610,1:1
040620,040620,1:1
040630,040630,1:1
040640,040640,1:1
040690,040690,1:1
040711,040711,1:1
040719,040719,1:1
040721,040721,1:1
040729,040729,1:1
040790,040790,1:1
040811,040811,1:1
040819,040819,1:1
040891,040891,1:1
040899,040899,1:1
040900,040900,1:1
041010,020890,n:n
041010,021099,n:n
041010,041000,n:n
041090,041000,n:1
050100,050100,1:1
050210,050210,1:1
050290,050290,1:1
050400,050400,1:1
050510,050510,1:1
050590,050590,1:1
050610,050610,1:1
050690,050690,1:1
050710,050710,1:1
050790,050790,1:1
050800,050800,1:1
051000,051000,1:1
051110,051110,1:1
051191,051191,1:1
051199,051199,1:1
060110,060110,1:1
060120,060120,1:1
060210,060210,1:1
060220,060220,1:1
060230,060230,1:1
060240,060240,1:1
060290,060290,1:1
060311,060311,1:1
060312,060312,1:1
060313,060313,1:1
060314,060314,1:1
060315,060315,1:1
060319,060319,1:1
060390,060390,1:1
060420,060420,1:1
060490,060490,1:1
070110,070110,1:1
070190,070190,1:1
070200,070200,1:1
070310,070310,1:1
070320,070320,1:1
070390,070390,1:1
070410,070410,1:n
070410,070490,n:n
070420,070420,1:1
070490,070490,n:1
070511,070511,1:1
070519,070519,1:1
070521,070521,1:1
070529,070529,1:1
070610,070610,1:1
070690,070690,1:1
070700,070700,1:1
070810,070810,1:1
070820,070820,1:1
070890,070890,1:1
070920,070920,1:1
070930,070930,1:1
070940,070940,1:1
070951,070951,1:1
070952,070959,n:1
070953,070959,n:1
070954,070959,n:1
070955,070959,n:1
070956,070959,n:1
070959,070959,n:1
070960,070960,1:1
070970,070970,1:1
070991,070991,1:1
070992,070992,1:1
070993,070993,1:1
070999,070999,1:1
071010,071010,1:1
071021,071021,1:1
071022,071022,1:1
071029,071029,1:1
071030,071030,1:1
071040,071040,1:1
071080,071080,1:1
071090,071090,1:1
071120,071120,1:1
071140,071140,1:1
071151,071151,1:1
071159,071159,1:1
071190,071190,1:1
071220,071220,1:1
071231,071231,1:1
071232,071232,1:1
071233,071233,1:1
071234,071239,n:1
071239,071239,n:1
071290,071290,1:1
071310,071310,1:1
071320,071320,1:1
071331,071331,1:1
071332,071332,1:1
071333,071333,1:1
071334,071334,1:1
071335,071335,1:1
071339,071339,1:1
071340,071340,1:1
071350,071350,1:1
071360,071360,1:1
071390,071390,1:1
071410,071410,1:1
071420,071420,1:1
071430,071430,1:1
071440,071440,1:1
071450,071450,1:1
071490,071490,1:1
080111,080111,1:1
080112,080112,1:1
080119,080119,1:1
080121,080121,1:1
080122,080122,1:1
080131,080131,1:1
080132,080132,1:1
080211,080211,1:1
080212,080212,1:1
080221,080221,1:1
080222,080222,1:1
080231,080231,1:1
080232,080232,1:1
080241,080241,1:1
080242,080242,1:1
080251,080251,1:1
080252,080252,1:1
080261,080261,1:1
080262,080262,1:1
080270,080270,1:1
080280,080280,1:1
080291,080290,n:1
080292,080290,n:1
080299,080290,n:1
080310,080310,1:1
080390,080390,1:1
080410,080410,1:1
080420,080420,1:1
080430,080430,1:1
080440,080440,1:1
080450,080450,1:1
080510,080510,1:1
080521,080521,1:1
080522,080522,1:1
080529,080529,1:1
080540,080540,1:1
080550,080550,1:1
080590,080590,1:1
080610,080610,1:1
080620,080620,1:1
080711,080711,1:1
080719,080719,1:1
080720,080720,1:1
080810,080810,1:1
080830,080830,1:1
080840,080840,1:1
080910,080910,1:1
080921,080921,1:1
080929,080929,1:1
080930,080930,1:1
080940,080940,1:1
081010,081010,1:1
081020,081020,1:1
081030,081030,1:1
081040,081040,1:1
081050,081050,1:1
081060,081060,1:1
081070,081070,1:1
081090,081090,1:1
081110,081110,1:1
081120,081120,1:1
081190,081190,1:1
081210,081210,1:1
081290,081290,1:1
081310,081310,1:1
081320,081320,1:1
081330,081330,1:1
081340,081340,1:1
081350,081350,1:1
081400,081400,1:1
090111,090111,1:1
090112,090112,1:1
090121,090121,1:1
090122,090122,1:1
090190,090190,1:1
090210,090210,1:1
090220,090220,1:1
090230,090230,1:1
090240,090240,1:1
090300,090300,1:1
090411,090411,1:1
090412,090412,1:1
090421,090421,1:1
090422,090422,1:1
090510,090510,1:1
090520,090520,1:1
090611,090611,1:1
090619,090619,1:1
090620,090620,1:1
090710,090710,1:1
090720,090720,1:1
090811,090811,1:1
090812,090812,1:1
090821,090821,1:1
090822,090822,1:1
090831,090831,1:1
090832,090832,1:1
090921,090921,1:1
090922,090922,1:1
090931,090931,1:1
090932,090932,1:1
090961,090961,1:1
090962,090962,1:1
091011,091011,1:1
091012,091012,1:1
091020,091020,1:1
091030,091030,1:1
091091,091091,1:1
091099,091099,1:1
100111,100111,1:1
100119,100119,1:1
100191,100191,1:1
100199,100199,1:1
100210,100210,1:1
100290,100290,1:1
100310,100310,1:1
100390,100390,1:1
100410,100410,1:1
100490,100490,1:1
100510,100510,1:1
100590,100590,1:1
100610,100610,1:1
100620,100620,1:1
100630,100630,1:1
100640,100640,1:1
100710,100710,1:1
100790,100790,1:1
100810,100810,1:1
100821,100821,1:1
100829,100829,1:1
100830,100830,1:1
100840,100840,1:1
100850,100850,1:1
100860,100860,1:1
100890,100890,1:1
110100,110100,1:1
110220,110220,1:1
110290,110290,1:1
110311,110311,1:1
110313,110313,1:1
110319,110319,1:1
110320,110320,1:1
110412,110412,1:1
110419,110419,1:1
110422,110422,1:1
110423,110423,1:1
110429,110429,1:1
110430,110430,1:1
110510,110510,1:1
110520,110520,1:1
110610,110610,1:1
110620,110620,1:1
110630,110630,1:1
110710,110710,1:1
110720,110720,1:1
110811,110811,1:1
110812,110812,1:1
110813,110813,1:1
110814,110814,1:1
110819,110819,1:1
110820,110820,1:1
110900,110900,1:1
120110,120110,1:1
120190,120190,1:1
120230,120230,1:1
120241,120241,1:1
120242,120242,1:1
120300,120300,1:1
120400,120400,1:1
120510,120510,1:1
120590,120590,1:1
120600,120600,1:1
120710,120710,1:1
120721,120721,1:1
120729,120729,1:1
120730,120730,1:1
120740,120740,1:1
120750,120750,1:1
120760,120760,1:1
120770,120770,1:1
120791,120791,1:1
120799,120799,1:1
120810,120810,1:1
120890,120890,1:1
120910,120910,1:1
120921,120921,1:1
120922,120922,1:1
120923,120923,1:1
120924,120924,1:1
120925,120925,1:1
120929,120929,1:1
120930,120930,1:1
120991,120991,1:1
120999,120999,1:1
121010,121010,1:1
121020,121020,1:1
121120,121120,1:1
121130,121130,1:1
121140,121140,1:1
121150,121150,1:1
121160,121190,n:1
121190,121190,n:1
121221,121221,1:1
121229,121229,1:1
121291,121291,1:1
121292,121292,1:1
121293,121293,1:1
121294,121294,1:1
121299,121299,1:1
121300,121300,1:1
121410,121410,1:1
121490,121490,1:1
130120,130120,1:1
130190,130190,1:1
130211,130211,1:1
130212,130212,1:1
130213,130213,1:1
130214,130214,1:1
130219,130219,1:1
130220,130220,1:1
130231,130231,1:1
130232,130232,1:1
130239,130239,1:1
140110,140110,1:1
140120,140120,1:1
140190,140190,1:1
140420,140420,1:1
140490,140490,1:1
150110,150110,1:1
150120,150120,1:1
150190,150190,1:1
150210,150210,1:1
150290,150290,1:1
150300,150300,1:1
150410,150410,1:1
150420,150420,1:1
150430,150430,1:1
150500,150500,1:1
150600,150600,1:1
150710,150710,1:1
150790,150790,1:1
150810,150810,1:1
150890,150890,1:1
150920,150910,n:1
150930,150910,n:1
150940,150910,n:1
150990,150990,1:1
151010,151000,n:1
151090,151000,n:1
151110,151110,1:1
151190,151190,1:1
151211,151211,1:1
151219,151219,1:1
151221,151221,1:1
151229,151229,1:1
151311,151311,1:1
151319,151319,1:1
151321,151321,1:1
151329,151329,1:1
151411,151411,1:1
151419,151419,1:1
151491,151491,1:1
151499,151499,1:1
151511,151511,1:1
151519,151519,1:1
151521,151521,1:1
151529,151529,1:1
151530,151530,1:1
151550,151550,1:1
151560,151590,n:1
151590,151590,n:1
151610,151610,1:1
151620,151620,n:1
151630,151620,n:1
151710,151710,1:1
151790,151790,1:1
151800,151800,1:1
152000,152000,1:1
152110,152110,1:1
152190,152190,1:1
152200,152200,1:1
160100,041000,n:n
160100,160100,1:n
160100,210690,n:n
160210,041000,n:n
160210,160210,1:n
160210,210690,n:n
160220,160220,1:1
160231,160231,1:1
160232,160232,1:1
160239,160239,1:1
160241,160241,1:1
160242,160242,1:1
160249,160249,1:1
160250,160250,1:1
160290,041000,n:n
160290,160290,1:n
160290,170490,n:n
160290,180690,n:n
160290,190190,n:n
160290,190490,n:n
160290,210690,n:n
160300,160300,1:1
160411,160411,1:1
160412,160412,1:1
160413,160413,1:1
160414,160414,1:1
160415,160415,1:1
160416,160416,1:1
160417,160417,1:1
160418,160418,1:1
160419,160419,1:1
160420,160420,1:1
160431,160431,1:1
160432,160432,1:1
160510,160510,1:1
160521,160521,1:1
160529,160529,1:1
160530,160530,1:1
160540,160540,1:1
160551,160551,1:1
160552,160552,1:1
160553,160553,1:1
160554,160554,1:1
160555,160555,1:1
160556,160556,1:1
160557,160557,1:1
160558,160558,1:1
160559,160559,1:1
160561,160561,1:1
160562,160562,1:1
160563,160563,1:1
160569,160569,1:1
170112,170112,1:1
170113,170113,1:1
170114,170114,1:1
170191,170191,1:1
170199,170199,1:1
170211,170211,1:1
170219,170219,1:1
170220,170220,1:1
170230,170230,1:1
170240,170240,1:1
170250,170250,1:1
170260,170260,1:1
170290,170290,1:1
170310,170310,1:1
170390,170390,1:1
170410,170410,1:1
170490,170490,n:1
180100,180100,1:1
180200,180200,1:1
180310,180310,1:1
180320,180320,1:1
180400,180400,1:1
180500,180500,1:1
180610,180610,1:1
180620,180620,1:1
180631,180631,1:1
180632,180632,1:1
180690,180690,n:1
190110,190110,1:1
190120,190120,1:1
190190,190190,n:1
190211,190211,1:1
190219,190219,1:1
190220,190220,1:1
190230,190230,1:1
190240,190240,1:1
190300,190300,1:1
190410,190410,1:1
190420,190420,1:1
190430,190430,1:1
190490,190490,n:1
190510,190510,1:1
190520,190520,1:1
190531,190531,1:1
190532,190532,1:1
190540,190540,1:1
190590,190590,1:1
200110,200110,1:1
200190,200190,1:1
200210,200210,1:1
200290,200290,1:1
200310,200310,1:1
200390,200390,1:1
200410,200410,1:1
200490,200490,1:1
200510,200510,1:1
200520,200520,1:1
200540,200540,1:1
200551,200551,1:1
200559,200559,1:1
200560,200560,1:1
200570,200570,1:1
200580,200580,1:1
200591,200591,1:1
200599,200599,1:1
200600,200600,1:1
200710,200710,1:1
200791,200791,1:1
200799,200799,1:1
200811,200811,1:1
200819,200819,1:1
200820,200820,1:1
200830,200830,1:1
200840,200840,1:1
200850,200850,1:1
200860,200860,1:1
200870,200870,1:1
200880,200880,1:1
200891,200891,1:1
200893,200893,1:1
200897,200897,1:1
200899,200899,1:1
200911,200911,1:1
200912,200912,1:1
200919,200919,1:1
200921,200921,1:1
200929,200929,1:1
200931,200931,1:1
200939,200939,1:1
200941,200941,1:1
200949,200949,1:1
200950,200950,1:1
200961,200961,1:1
200969,200969,1:1
200971,200971,1:1
200979,200979,1:1
200981,200981,1:1
200989,200989,1:1
200990,200990,1:1
210111,210111,1:1
210112,210112,1:1
210120,210120,1:1
210130,210130,1:1
210210,210210,1:1
210220,210220,1:1
210230,210230,1:1
210310,210310,1:1
210320,210320,1:1
210330,210330,1:1
210390,210390,1:1
210410,210410,1:1
210420,210420,1:1
210500,210500,1:1
210610,210610,1:1
210690,210690,n:1
220110,220110,1:1
220190,220190,1:1
220210,220210,1:1
220291,220291,1:1
220299,220299,n:1
220300,220300,1:1
220410,220410,1:1
220421,220421,1:1
220422,220422,1:1
220429,220429,1:1
220430,220430,1:1
220510,220510,1:1
220590,220590,1:1
220600,220600,1:1
220710,220710,1:1
220720,220720,1:1
220820,220820,1:1
220830,220830,1:1
220840,220840,1:1
220850,220850,1:1
220860,220860,1:1
220870,220870,1:1
220890,220890,1:1
220900,220900,1:1
230110,230110,1:1
230120,230120,1:1
230210,230210,1:1
230230,230230,1:1
230240,230240,1:1
230250,230250,1:1
230310,230310,1:1
230320,230320,1:1
230330,230330,1:1
230400,230400,1:1
230500,230500,1:1
230610,230610,1:1
230620,230620,1:1
230630,230630,1:1
230641,230641,1:1
230649,230649,1:1
230650,230650,1:1
230660,230660,1:1
230690,230690,1:1
230700,230700,1:1
230800,230800,1:1
230910,230910,1:1
230990,230990,1:1
240110,240110,1:1
240120,240120,1:1
240130,240130,1:1
240210,240210,1:1
240220,240220,1:1
240290,240290,1:1
240311,240311,1:1
240319,240319,1:1
240391,240391,n:1
240399,240399,n:1
240411,240391,n:n
240411,240399,n:n
240412,382499,n:1
240419,240399,n:n
240419,382499,n:n
240491,210690,n:1
240492,382499,n:1
240499,382499,n:1
250100,250100,1:1
250200,250200,1:1
250300,250300,1:1
250410,250410,1:1
250490,250490,1:1
250510,250510,1:1
250590,250590,1:1
250610,250610,1:1
250620,250620,1:1
250700,250700,1:1
250810,250810,1:1
250830,250830,1:1
250840,250840,1:1
250850,250850,1:1
250860,250860,1:1
250870,250870,1:1
250900,250900,1:1
251010,251010,1:1
251020,251020,1:1
251110,251110,1:1
251120,251120,1:1
251200,251200,1:1
251310,251310,1:1
251320,251320,1:1
251400,251400,1:1
251511,251511,1:1
251512,251512,1:1
251520,251520,1:1
251611,251611,1:1
251612,251612,1:1
251620,251620,1:1
251690,251690,1:1
251710,251710,1:1
251720,251720,1:1
251730,251730,1:1
251741,251741,1:1
251749,251749,1:1
251810,251810,1:1
251820,251820,1:1
251910,251910,1:1
251990,251990,1:1
252010,252010,1:1
252020,252020,1:1
252100,252100,1:1
252210,252210,1:1
252220,252220,1:1
252230,252230,1:1
252310,252310,1:1
252321,252321,1:1
252329,252329,1:1
252330,252330,1:1
252390,252390,1:1
252410,252410,1:1
252490,252490,1:1
252510,252510,1:1
252520,252520,1:1
252530,252530,1:1
252610,252610,1:1
252620,252620,1:1
252800,252800,1:1
252910,252910,1:1
252921,252921,1:1
252922,252922,1:1
252930,252930,1:1
253010,253010,1:1
253020,253020,1:1
253090,253090,1:1
260111,260111,1:1
260112,260112,1:1
260120,260120,1:1
260200,260200,1:1
260300,260300,1:1
260400,260400,1:1
260500,260500,1:1
260600,260600,1:1
260700,260700,1:1
260800,260800,1:1
260900,260900,1:1
261000,261000,1:1
261100,261100,1:1
261210,261210,1:1
261220,261220,1:1
261310,261310,1:1
261390,261390,1:1
261400,261400,1:1
261510,261510,1:1
261590,261590,1:1
261610,261610,1:1
261690,261690,1:1
261710,261710,1:1
261790,261790,1:1
261800,261800,1:1
261900,261900,1:1
262011,262011,1:1
262019,262019,1:1
262021,262021,1:1
262029,262029,1:1
262030,262030,1:1
262040,262040,1:1
262060,262060,1:1
262091,262091,1:1
262099,262099,1:1
262110,262110,1:1
262190,262190,1:1
270111,270111,1:1
270112,270112,1:1
270119,270119,1:1
270120,270120,1:1
270210,270210,1:1
270220,270220,1:1
270300,270300,1:1
270400,270400,1:1
270500,270500,1:1
270600,270600,1:1
270710,270710,1:1
270720,270720,1:1
270730,270730,1:1
270740,270740,1:1
270750,270750,1:1
270791,270791,1:1
270799,270799,1:1
270810,270810,1:1
270820,270820,1:1
270900,270900,1:1
271012,271012,1:1
271019,271019,1:1
271020,271020,1:1
271091,271091,1:1
271099,271099,1:1
271111,271111,1:1
271112,271112,1:1
271113,271113,1:1
271114,271114,1:1
271119,271119,1:1
271121,271121,1:1
271129,271129,1:1
271210,271210,1:1
271220,271220,1:1
271290,271290,1:1
271311,271311,1:1
271312,271312,1:1
271320,271320,1:1
271390,271390,1:1
271410,271410,1:1
271490,271490,1:1
271500,271500,1:1
271600,271600,1:1
280110,280110,1:1
280120,280120,1:1
280130,280130,1:1
280200,280200,1:1
280300,280300,1:1
280410,280410,1:1
280421,280421,1:1
280429,280429,1:1
280430,280430,1:1
280440,280440,1:1
280450,280450,1:1
280461,280461,1:1
280469,280469,1:1
280470,280470,1:1
280480,280480,1:1
280490,280490,1:1
280511,280511,1:1
280512,280512,1:1
280519,280519,1:1
280530,280530,1:1
280540,280540,1:1
280610,280610,1:1
280620,280620,1:1
280700,280700,1:1
280800,280800,1:1
280910,280910,1:1
280920,280920,1:1
281000,281000,1:1
281111,281111,1:1
281112,281112,1:1
281119,281119,1:1
281121,281121,1:1
281122,281122,1:1
281129,281129,1:1
281211,281211,1:1
281212,281212,1:1
281213,281213,1:1
281214,281214,1:1
281215,281215,1:1
281216,281216,1:1
281217,281217,1:1
281219,281219,1:1
281290,281290,1:1
281310,281310,1:1
281390,281390,1:1
281410,281410,1:1
281420,281420,1:1
281511,281511,1:1
281512,281512,1:1
281520,281520,1:1
281530,281530,1:1
281610,281610,1:1
281640,281640,1:1
281700,281700,1:1
281810,281810,1:1
281820,281820,1:1
281830,281830,1:1
281910,281910,1:1
281990,281990,1:1
282010,282010,1:1
282090,282090,1:1
282110,282110,1:1
282120,282120,1:1
282200,282200,1:1
282300,282300,1:1
282410,282410,1:1
282490,282490,1:1
282510,282510,1:1
282520,282520,1:1
282530,282530,1:1
282540,282540,1:1
282550,282550,1:1
282560,282560,1:1
282570,282570,1:1
282580,282580,1:1
282590,282590,1:1
282612,282612,1:1
282619,282619,1:1
282630,282630,1:1
282690,282690,1:1
282710,282710,1:1
282720,282720,1:1
282731,282731,1:1
282732,282732,1:1
282735,282735,1:1
282739,282739,1:1
282741,282741,1:1
282749,282749,1:1
282751,282751,1:1
282759,282759,1:1
282760,282760,1:1
282810,282810,1:1
282890,282890,1:1
282911,282911,1:1
282919,282919,1:1
282990,282990,1:1
283010,283010,1:1
283090,283090,1:1
283110,283110,1:1
283190,283190,1:1
283210,283210,1:1
283220,283220,1:1
283230,283230,1:1
283311,283311,1:1
283319,283319,1:1
283321,283321,1:1
283322,283322,1:1
283324,283324,1:1
283325,283325,1:1
283327,283327,1:1
283329,283329,1:1
283330,283330,1:1
283340,283340,1:1
283410,283410,1:1
283421,283421,1:1
283429,283429,1:1
283510,283510,1:1
283522,283522,1:1
283524,283524,1:1
283525,283525,1:1
283526,283526,1:1
283529,283529,1:1
283531,283531,1:1
283539,283539,1:1
283620,283620,1:1
283630,283630,1:1
283640,283640,1:1
283650,283650,1:1
283660,283660,1:1
283691,283691,1:1
283692,283692,1:1
283699,283699,1:1
283711,283711,1:1
283719,283719,1:1
283720,283720,1:1
283911,283911,1:1
283919,283919,1:1
283990,283990,1:1
284011,284011,1:1
284019,284019,1:1
284020,284020,1:1
284030,284030,1:1
284130,284130,1:1
284150,284150,1:1
284161,284161,1:1
284169,284169,1:1
284170,284170,1:1
284180,284180,1:1
284190,284190,1:1
284210,284210,1:1
284290,284290,1:1
284310,284310,1:1
284321,284321,1:1
284329,284329,1:1
284330,284330,1:1
284390,284390,1:1
284410,284410,1:1
284420,284420,1:1
284430,284430,1:1
284441,284440,n:1
284442,284440,n:1
284443,284440,n:1
284444,284440,n:1
284450,284450,1:1
284510,284510,1:1
284520,284590,n:1
284530,284590,n:1
284540,284590,n:1
284590,284590,n:1
284610,284610,1:1
284690,284690,1:1
284700,284700,1:1
284910,284910,1:1
284920,284920,1:1
284990,284990,1:1
285000,285000,1:1
285210,285210,1:1
285290,285290,1:1
285310,285310,1:1
285390,285390,1:1
290110,290110,1:1
290121,290121,1:1
290122,290122,1:1
290123,290123,1:1
290124,290124,1:1
290129,290129,1:1
290211,290211,1:1
290219,290219,1:1
290220,290220,1:1
290230,290230,1:1
290241,290241,1:1
290242,290242,1:1
290243,290243,1:1
290244,290244,1:1
290250,290250,1:1
290260,290260,1:1
290270,290270,1:1
290290,290290,1:1
290311,290311,1:1
290312,290312,1:1
290313,290313,1:1
290314,290314,1:1
290315,290315,1:1
290319,290319,1:1
290321,290321,1:1
290322,290322,1:1
290323,290323,1:1
290329,290329,1:1
290341,290339,n:1
290342,290339,n:1
290343,290339,n:1
290344,290339,n:1
290345,290339,n:1
290346,290339,n:1
290347,290339,n:1
290348,290339,n:1
290349,290339,n:1
290351,290339,n:1
290359,290339,n:1
290361,290339,n:1
290362,290331,1:1
290369,290339,n:1
290371,290371,1:1
290372,290372,1:1
290373,290373,1:1
290374,290374,1:1
290375,290375,1:1
290376,290376,1:1
290377,290377,1:1
290378,290378,1:1
290379,290379,1:1
290381,290381,1:1
290382,290382,1:1
290383,290383,1:1
290389,290389,1:1
290391,290391,1:1
290392,290392,1:1
290393,290393,1:1
290394,290394,1:1
290399,290399,1:1
290410,290410,1:1
290420,290420,1:1
290431,290431,1:1
290432,290432,1:1
290433,290433,1:1
290434,290434,1:1
290435,290435,1:1
290436,290436,1:1
290491,290491,1:1
290499,290499,1:1
290511,290511,1:1
290512,290512,1:1
290513,290513,1:1
290514,290514,1:1
290516,290516,1:1
290517,290517,1:1
290519,290519,1:1
290522,290522,1:1
290529,290529,1:1
290531,290531,1:1
290532,290532,1:1
290539,290539,1:1
